keff,panels_deg,areal_dens,type,solbor,burnup,vf
0.90117,12,0.01,bwr,0,12,0.7
0.90311,20,0.01,bwr,0,12,0.7
0.91129,40,0.01,bwr,0,12,0.7
0.92204,80,0.01,bwr,0,12,0.7
0.94134,200,0.01,bwr,0,12,0.7
0.89691,0,0.012,bwr,0,12,0.7
0.89744,1,0.012,bwr,0,12,0.7
0.89762,2,0.012,bwr,0,12,0.7
0.8976,3,0.012,bwr,0,12,0.7
0.89734,4,0.012,bwr,0,12,0.7
0.89902,8,0.012,bwr,0,12,0.7
0.89963,12,0.012,bwr,0,12,0.7
0.90174,20,0.012,bwr,0,12,0.7
0.90712,40,0.012,bwr,0,12,0.7
0.91508,80,0.012,bwr,0,12,0.7
0.93092,200,0.012,bwr,0,12,0.7
0.89691,0,0.014,bwr,0,12,0.7
0.89777,1,0.014,bwr,0,12,0.7
0.89793,2,0.014,bwr,0,12,0.7
0.89721,3,0.014,bwr,0,12,0.7
0.89755,4,0.014,bwr,0,12,0.7
0.89834,8,0.014,bwr,0,12,0.7
0.89889,12,0.014,bwr,0,12,0.7
0.90029,20,0.014,bwr,0,12,0.7
0.90383,40,0.014,bwr,0,12,0.7
0.90974,80,0.014,bwr,0,12,0.7
0.92244,200,0.014,bwr,0,12,0.7
0.89691,0,0.016,bwr,0,12,0.7
0.89786,1,0.016,bwr,0,12,0.7
0.89749,2,0.016,bwr,0,12,0.7
0.89761,3,0.016,bwr,0,12,0.7
0.89717,4,0.016,bwr,0,12,0.7
0.89847,8,0.016,bwr,0,12,0.7
0.89833,12,0.016,bwr,0,12,0.7
0.89943,20,0.016,bwr,0,12,0.7
0.9014,40,0.016,bwr,0,12,0.7
0.90505,80,0.016,bwr,0,12,0.7
0.91491,200,0.016,bwr,0,12,0.7
0.89691,0,0.018,bwr,0,12,0.7
0.89723,1,0.018,bwr,0,12,0.7
0.89773,2,0.018,bwr,0,12,0.7
0.89725,3,0.018,bwr,0,12,0.7
0.89763,4,0.018,bwr,0,12,0.7
0.8975,8,0.018,bwr,0,12,0.7
0.89816,12,0.018,bwr,0,12,0.7
0.89852,20,0.018,bwr,0,12,0.7
0.89998,40,0.018,bwr,0,12,0.7
0.9018,80,0.018,bwr,0,12,0.7
0.90865,200,0.018,bwr,0,12,0.7
0.89691,0,0.02,bwr,0,12,0.7
0.89732,1,0.02,bwr,0,12,0.7
0.89745,2,0.02,bwr,0,12,0.7
0.897,3,0.02,bwr,0,12,0.7
0.89711,4,0.02,bwr,0,12,0.7
0.89691,8,0.02,bwr,0,12,0.7
0.89732,12,0.02,bwr,0,12,0.7
0.89716,20,0.02,bwr,0,12,0.7
0.89832,40,0.02,bwr,0,12,0.7
0.89897,80,0.02,bwr,0,12,0.7
0.90223,200,0.02,bwr,0,12,0.7
0.89691,0,0.022,bwr,0,12,0.7
0.89691,1,0.022,bwr,0,12,0.7
